s,C,%,ug/m3,
Time,temp,humid,density_CO,
73 ,59.780495 ,6.466482 ,15.221467 ,
74 ,67.523096 ,4.631273 ,17.348059 ,
76 ,57.136178 ,7.434324 ,14.838403 ,
77 ,66.443971 ,5.127093 ,16.667813 ,
78 ,69.036557 ,4.420993 ,17.518169 ,
79 ,53.138660 ,8.542743 ,13.725771 ,
80 ,56.529532 ,7.223396 ,13.818222 ,
82 ,62.403253 ,5.767353 ,16.795714 ,
83 ,64.895281 ,5.188461 ,16.647684 ,
84 ,64.231096 ,5.531409 ,16.067744 ,
85 ,64.229796 ,5.399205 ,15.906236 ,
86 ,71.261164 ,4.083596 ,18.260908 ,
88 ,62.514671 ,5.824351 ,15.455647 ,
89 ,59.627619 ,6.307463 ,15.024753 ,
90 ,56.137152 ,9.607031 ,13.864690 ,
91 ,54.637902 ,8.071504 ,13.694883 ,
92 ,64.224773 ,5.321931 ,16.469951 ,
94 ,67.628286 ,4.757488 ,17.819290 ,
95 ,67.911084 ,4.623091 ,18.142550 ,
96 ,74.365545 ,3.534507 ,18.257597 ,
97 ,59.451124 ,6.341373 ,14.569932 ,
98 ,63.725810 ,5.379380 ,16.261192 ,
100 ,52.379847 ,8.691354 ,13.295543 ,
101 ,64.540135 ,5.307603 ,16.349117 ,
102 ,66.029020 ,4.918686 ,16.719997 ,
103 ,65.236229 ,5.216575 ,17.254969 ,
104 ,64.911804 ,5.254436 ,17.173392 ,
106 ,65.934257 ,4.941187 ,16.955480 ,
107 ,70.322643 ,4.163192 ,17.605724 ,
108 ,67.976424 ,5.356690 ,17.327413 ,
109 ,64.522403 ,5.769092 ,16.344177 ,
110 ,65.309106 ,5.224957 ,16.717079 ,
112 ,66.267917 ,5.527696 ,17.743356 ,
113 ,72.553558 ,3.992815 ,19.185512 ,
114 ,63.260995 ,5.430829 ,14.554690 ,
115 ,59.514419 ,6.755981 ,15.291165 ,
116 ,68.893194 ,4.496314 ,18.158363 ,
118 ,70.745692 ,4.107646 ,18.023293 ,
119 ,70.981011 ,4.157539 ,17.915235 ,
120 ,78.585825 ,3.123195 ,20.120219 ,
121 ,85.771088 ,2.516723 ,22.985918 ,
122 ,64.670664 ,5.146924 ,15.688169 ,
124 ,78.203526 ,3.414071 ,21.168022 ,
125 ,62.473039 ,5.720333 ,15.445793 ,
126 ,66.018179 ,5.080130 ,17.189734 ,
127 ,64.024079 ,5.402967 ,16.227472 ,
128 ,58.042044 ,6.840429 ,13.987931 ,
130 ,59.880038 ,6.308455 ,15.252921 ,
131 ,64.098489 ,5.384804 ,15.400188 ,
132 ,60.768505 ,6.344096 ,15.371176 ,
133 ,65.151281 ,5.405438 ,17.801269 ,
134 ,69.175887 ,4.327032 ,17.333538 ,
136 ,60.595579 ,6.335262 ,14.408792 ,
137 ,53.827651 ,8.099188 ,11.950919 ,
138 ,63.449152 ,5.630437 ,16.100165 ,
139 ,65.701358 ,5.223428 ,17.697898 ,
140 ,55.137999 ,7.483547 ,11.978001 ,
