time,temp,humid,gas,defuzz
529.000000,162.088330,2.250972,43.855505,80.032007
530.000000,140.445620,2.270853,36.780060,80.134525
532.000000,113.556490,2.771912,30.909277,78.037127
533.000000,140.664000,2.494744,36.885358,80.148704
534.000000,152.672210,2.167529,41.294756,80.284697
535.000000,154.364710,2.071477,37.750132,80.237064
536.000000,183.849850,2.357205,42.751690,80.191682
538.000000,178.501460,2.376202,46.160474,79.401650
539.000000,114.710770,2.110426,32.684581,78.933984
540.000000,145.694420,1.996414,36.997207,80.162911
541.000000,133.885500,2.002934,34.686933,79.681210
542.000000,144.643230,2.047756,38.456142,80.276523
544.000000,190.008420,2.478035,47.989202,78.617596
545.000000,174.833870,2.274035,43.432413,80.103525
546.000000,146.466480,2.065813,38.869675,80.288752
547.000000,124.255490,2.155593,33.659273,79.335129
548.000000,137.757100,1.928213,36.148095,80.032670
550.000000,139.498290,2.083099,39.974342,80.297275
551.000000,138.214410,1.953527,37.127592,80.178372
552.000000,137.204590,2.053885,36.511740,80.094834
553.000000,145.552060,2.155950,37.933476,80.249850
554.000000,133.850020,2.635155,34.913089,79.746440
556.000000,164.922430,2.196175,42.145569,80.244575
557.000000,125.966900,1.886134,34.397248,79.591860
558.000000,125.933270,1.900621,34.719812,79.690940
559.000000,157.269790,2.141235,40.905098,80.292763
560.000000,140.552580,1.983589,37.923935,80.249232
562.000000,154.292020,2.071049,39.497277,80.296424
563.000000,166.145110,2.200377,41.990995,80.254594
564.000000,156.232750,2.190256,40.948663,80.292100
565.000000,174.247660,2.218189,41.971926,80.255724
566.000000,183.649710,2.339883,44.210580,79.961655
568.000000,150.469780,2.093858,40.336066,80.297007
569.000000,151.713530,2.021474,38.169333,80.263595
570.000000,143.165680,1.985624,36.965467,80.158948
571.000000,150.187760,2.218560,39.845263,80.297241
572.000000,182.878720,2.390284,46.062408,79.436811
574.000000,160.869220,2.114273,39.993914,80.297275
575.000000,131.016740,1.985409,33.243411,79.172414
576.000000,158.656740,2.153812,41.044143,80.290471
577.000000,187.018840,2.492692,48.711695,78.245261
578.000000,171.401840,2.271504,44.050741,79.994507
580.000000,173.785080,2.394645,47.229901,78.971908
581.000000,218.368430,2.646243,49.383482,77.870598
582.000000,182.556080,2.336711,43.350568,80.115865
583.000000,181.705370,2.311615,43.960565,80.012183
584.000000,173.426800,2.364427,42.380917,80.226702
586.000000,172.294040,2.286686,44.382574,79.924103
587.000000,206.590980,2.719992,52.734163,78.956034
588.000000,196.107490,2.580852,50.345809,77.712405
589.000000,209.183670,2.579422,49.188345,77.982149
590.000000,180.413130,2.371141,44.967764,79.779203
592.000000,190.152690,2.372627,44.827816,79.816281
593.000000,165.446580,2.263631,43.601540,80.076518
594.000000,169.442990,2.547173,41.940621,80.257556
595.000000,179.793880,2.348805,44.939283,79.786876
596.000000,208.082860,2.751195,53.280476,79.187435
598.000000,158.508200,2.351872,43.128528,80.146880
599.000000,182.049900,2.376480,45.648303,79.577215
600.000000,185.651400,2.479484,48.646995,78.279956
601.000000,229.580630,2.951515,54.457358,79.610933
602.000000,227.382120,2.927011,56.217485,80.045321
604.000000,203.468310,2.659019,50.630235,77.878480
605.000000,196.076430,2.501476,47.946097,78.638749
606.000000,244.881200,2.966882,56.061966,80.016509
607.000000,142.839690,3.611374,37.582664,80.223644
608.000000,171.160690,2.402514,47.634929,78.787795
610.000000,182.315230,2.363043,45.535679,79.613122
611.000000,156.059450,2.138254,41.496323,80.278276
612.000000,206.217270,2.635680,50.357601,77.719383
613.000000,185.975280,2.407449,46.207995,79.384347
