time,temp,humid,gas,smoke,defuzz
434.404110,48.188431,9.451789,7.397863,18.992376,77.749366
435.625700,49.376326,8.951478,7.707846,19.788189,77.874712
436.818210,49.245951,9.077870,7.833820,20.111600,77.949402
438.010720,52.853583,7.736413,8.957353,22.996022,79.008436
439.203220,51.015656,8.383761,8.491546,21.800167,78.096405
440.424820,51.941256,8.012973,8.538854,21.921619,78.583209
441.617320,51.305156,8.293954,8.526817,21.890716,78.254294
442.815240,52.612427,7.829549,8.979502,23.052886,78.901586
444.019400,54.501064,7.208410,9.376522,24.072147,79.624626
445.223560,54.038854,7.385432,9.401260,24.135654,79.472353
446.427720,53.837376,7.426638,9.243660,23.731052,79.400871
447.601080,53.186319,7.606501,8.977143,23.046830,79.149087
448.802440,52.517717,7.818369,8.697327,22.328463,78.858508
450.008180,50.073806,8.806375,7.994018,20.522873,77.549385
451.221160,49.873253,8.792743,7.910921,20.309540,77.581480
452.403830,50.332474,8.585878,7.951803,20.414494,77.704496
453.606660,49.696580,8.820792,7.758992,19.919494,77.687198
454.818850,50.574169,8.491732,8.023426,20.598370,77.846142
456.022970,47.829172,9.585562,7.232450,18.567716,78.126510
457.208230,49.792408,8.892000,8.110867,20.822856,77.630056
458.423120,48.358527,9.515579,8.037744,20.635129,78.431368
459.616300,50.543257,8.562391,8.354981,21.449564,77.828175
460.810160,50.295715,8.725427,7.871223,20.207623,77.682627
462.006670,51.349837,8.312049,8.771679,22.519346,78.278263
463.203180,50.666593,8.595997,8.718072,22.381722,77.899437
464.425950,46.995937,10.088920,7.134916,18.317320,78.336907
465.602610,46.169451,10.474479,7.276617,18.681103,78.028289
466.818040,47.246279,9.923903,7.406795,19.015308,77.728368
468.002310,45.881646,10.579698,7.079320,18.174588,78.452628
469.217740,49.239880,9.003095,7.517010,19.298259,77.545905
470.402010,44.464278,11.158689,6.134934,15.750086,79.887801
471.617440,41.925791,12.690894,5.665801,14.545690,80.200855
472.801710,44.443803,11.260095,6.473796,16.620038,79.495098
474.017140,45.062359,10.985660,6.803169,17.465631,78.979487
475.201410,46.950717,10.066259,7.283310,18.698287,78.013206
476.407490,45.937234,10.444282,6.584951,16.905404,79.335476
477.602970,44.824118,11.361852,6.278043,16.117485,79.739366
478.800560,41.704700,13.003035,5.653969,14.515315,80.205517
480.006780,39.094554,14.941805,5.307655,13.626229,77.023384
481.221260,47.328695,9.859718,7.314014,18.777114,77.943638
482.408140,50.463545,8.581506,8.137243,20.890571,77.781713
483.622620,48.885683,9.156549,7.599683,19.510504,77.743610
484.809500,53.304369,7.533737,8.726902,22.404389,79.197066
486.023980,51.535416,8.158349,8.331488,21.389251,78.376295
487.210860,47.193929,9.912261,7.241398,18.590687,78.106787
488.425340,47.870637,9.679060,7.668387,19.686887,77.903436
489.608890,49.387551,9.036748,8.082995,20.751302,77.868256
490.825130,51.771995,8.137348,8.725125,22.399828,78.498194
492.011950,51.289738,8.347530,8.707086,22.353518,78.246030
493.225740,51.471668,8.202239,8.457399,21.712500,78.342880
494.412560,49.361016,9.048242,8.108122,20.815810,77.883515
495.626350,51.515157,8.229460,8.562413,21.982102,78.365699
496.813170,50.910167,8.390361,8.258804,21.202651,78.037626
498.026970,49.608963,8.939979,8.075015,20.730815,77.739091
499.213790,51.926268,8.120976,8.968357,23.024273,78.575760
500.400600,48.372776,9.548283,8.077897,20.738212,78.424020
501.612530,48.435856,9.513056,8.137170,20.890382,78.391308
502.821660,52.690662,7.869014,9.292732,23.857035,78.936699
504.006610,56.358301,6.642305,9.970691,25.597544,80.069797
505.215740,56.315171,6.798976,9.862026,25.318570,80.062479
506.407940,53.390219,7.830668,9.947011,25.536751,79.231313
507.604980,55.992672,6.993233,10.094067,25.914285,80.003125
508.815300,53.194252,7.778150,9.065351,23.273283,79.152344
510.012250,56.935909,6.507181,10.261631,26.344469,80.155199
511.209200,59.615671,5.858689,11.281824,28.963587,79.735113
512.423140,58.840396,6.028599,10.781503,27.679125,80.147215
513.610760,57.726516,6.249015,10.173232,26.117522,80.235260
514.827330,53.735775,7.449923,8.954791,22.989444,79.363660
516.004730,53.972154,7.329014,9.040217,23.208758,79.449043
517.201800,46.595208,10.268056,7.029512,18.046716,78.553628
518.424890,51.513413,8.265704,8.876729,22.789039,78.364787
519.606340,50.619217,8.649614,8.865623,22.760525,77.872150
520.822340,53.061982,7.732013,9.416844,24.175663,79.097459
522.004390,48.391821,9.781501,7.493256,19.237277,77.521017
523.222380,51.295532,8.476433,8.727534,22.406013,78.249137
524.416940,53.684659,7.638516,9.737054,24.997732,79.344640
525.623210,57.993868,6.326290,10.822781,27.785096,80.124476
526.808410,56.431809,6.696651,10.254981,26.327394,80.082044
528.019370,59.922258,5.766061,11.235484,28.844619,79.786164
529.204560,57.521521,6.391648,10.624033,27.274854,80.216743
530.415520,54.722563,7.258756,9.645775,24.763395,79.691751
531.614550,47.649945,10.098020,8.081153,20.746573,78.768776
532.820530,50.537688,8.804549,9.455424,24.274710,77.824928
534.025050,51.207215,8.493152,9.081767,23.315428,78.201443
535.204300,49.045369,9.277244,8.390060,21.539623,78.062451
536.416870,53.863579,7.575827,10.028343,25.745551,79.410353
537.603900,51.384577,9.528650,8.672737,22.265332,78.296775
538.821690,47.555113,10.391197,8.268280,21.226980,78.824968
540.014110,54.077376,7.656834,10.106651,25.946590,79.485681
541.206530,59.266079,5.889568,10.818740,27.774722,80.126787
